Iteration	Posterior	Likelihood	Prior	d	m	obsNodes[1]	obsNodes[2]	obsNodes[3]	obsNodes[4]	obsNodes[5]	obsNodes[6]	obsNodes[7]	obsNodes[8]	obsNodes[9]	obsNodes[10]	obsNodes[11]	obsNodes[12]	obsNodes[13]	obsNodes[14]	obsNodes[15]	obsNodes[16]	obsNodes[17]	obsNodes[18]	obsNodes[19]	obsNodes[20]	s
6800	-10484.8	-10477.6	-7.24553	1.673038	1.145586	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	2.745096
6900	-10484.8	-10477.6	-7.2966	1.673038	1.170609	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	2.898884
7000	-10484.8	-10477.6	-7.22536	1.673038	0.7824145	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	2.582156
7100	-10484.8	-10477.6	-7.28517	1.673038	0.8617468	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	2.788777
7200	-10484.9	-10477.6	-7.36775	1.673038	0.4731823	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	2.900683
7300	-10485	-10477.6	-7.44095	1.673038	0.7060167	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.25274
7400	-10484.9	-10477.6	-7.36428	1.673038	0.8740355	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.042034
7500	-10484.7	-10477.6	-7.10062	1.673038	1.341371	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	2.395953
7600	-10484.7	-10477.6	-7.19096	1.673038	1.103272	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	2.584145
7700	-10484.8	-10477.6	-7.24345	1.673038	1.074076	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	2.723775
7800	-10484.8	-10477.6	-7.22118	1.673038	1.23838	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	2.69366
7900	-10484.7	-10477.6	-7.16139	1.673038	1.567523	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	2.56843
8000	-10484.8	-10477.6	-7.22499	1.673038	1.609058	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	2.73864
8100	-10485	-10477.6	-7.43414	1.673038	1.478997	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.37106
8200	-10484.9	-10477.6	-7.3531	1.673038	2.012694	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.095107
8300	-10484.8	-10477.6	-7.26376	1.673038	1.434998	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	2.837681
8400	-10484.6	-10477.6	-7.05564	1.673038	1.748863	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	2.31139
8500	-10484.6	-10477.6	-7.00476	1.673038	1.843899	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	2.191232
8600	-10484.5	-10477.6	-6.92853	1.673038	1.723603	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	2.035948
8700	-10484.5	-10477.6	-6.97168	1.673038	1.543254	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	2.122424
8800	-10484.2	-10477.6	-6.66049	1.673038	1.596834	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	1.555864
8900	-10484.2	-10477.6	-6.59843	1.673038	1.275946	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	1.406825
9000	-10484	-10477.6	-6.40403	1.673038	1.740161	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	1.203481
9100	-10483.8	-10477.6	-6.27515	1.673038	1.49549	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	1.044404
9200	-10484.1	-10477.6	-6.52093	1.673038	1.122514	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	1.224619
9300	-10483.7	-10477.6	-6.11023	1.673038	1.131214	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	0.5030794
9400	-10483	-10477.6	-5.41758	1.673038	1.451916	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	0.3792007
9500	-10483.1	-10477.6	-5.51487	1.673038	1.496068	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	0.4600747
9600	-10480.7	-10477.6	-3.18517	1.673038	1.701133	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	0.0348155
9700	-10480.7	-10477.6	-3.1505	1.673038	1.677371	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	0.04636899
9800	-10482.8	-10477.6	-5.24536	1.673038	1.529	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	0.3471608
9900	-10482.7	-10477.6	-5.1376	1.673038	1.67514	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	0.3397064
10000	-10481.7	-10477.6	-4.15892	1.673038	1.609311	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	0.1068728
