Iteration	Posterior	Likelihood	Prior	m	obs[1]	obs[2]	obs[3]	obs[4]	obs[5]	obs[6]	obs[7]	obs[8]	obs[9]	obs[10]	sd
17600	-46.5876	-44.9782	-1.60944	4.927883	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9957297
17700	-46.9378	-45.3284	-1.60944	4.920544	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9912374
17800	-46.5752	-44.9658	-1.60944	4.984335	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9875934
17900	-47.5215	-45.9121	-1.60944	4.990626	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9719631
18000	-46.0808	-44.4714	-1.60944	4.977716	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9965643
18100	-47.6712	-46.0617	-1.60944	4.94555	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9761271
18200	-46.5669	-44.9574	-1.60944	4.91274	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9983816
18300	-46.4984	-44.8889	-1.60944	4.953476	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9933299
18400	-49.6838	-48.0743	-1.60944	4.746433	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9776488
18500	-47.564	-45.9545	-1.60944	4.980564	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9727318
18600	-48.1665	-46.5571	-1.60944	4.95442	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9674188
18700	-48.3004	-46.6909	-1.60944	4.87883	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9766414
18800	-49.1184	-47.5089	-1.60944	4.970074	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9514854
18900	-47.6212	-46.0117	-1.60944	4.846428	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9920639
19000	-47.1014	-45.4919	-1.60944	4.850644	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9995757
19100	-46.925	-45.3156	-1.60944	4.924138	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9908956
19200	-46.7333	-45.1239	-1.60944	4.985887	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.984856
19300	-46.0283	-44.4189	-1.60944	4.966844	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9990263
19400	-46.2777	-44.6682	-1.60944	4.967014	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9949104
19500	-46.9023	-45.2928	-1.60944	4.985911	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9821885
19600	-47.8959	-46.2865	-1.60944	4.833503	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9898921
19700	-48.2371	-46.6276	-1.60944	4.807065	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9889694
19800	-45.9486	-44.3392	-1.60944	4.996726	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9959882
19900	-47.5845	-45.975	-1.60944	4.818404	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.997181
20000	-46.6867	-45.0773	-1.60944	4.897705	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9987714
20100	-46.8128	-45.2034	-1.60944	4.998017	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9818817
20200	-48.8513	-47.2419	-1.60944	4.952908	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.957674
20300	-46.788	-45.1785	-1.60944	4.936641	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9911936
20400	-47.9435	-46.3341	-1.60944	4.872029	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9830672
20500	-49.5961	-47.9867	-1.60944	4.850476	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9622199
20600	-47.1152	-45.5058	-1.60944	4.901358	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9913618
20700	-48.2686	-46.6591	-1.60944	4.889497	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9754863
20800	-47.3216	-45.7122	-1.60944	4.975423	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.977164
20900	-49.3821	-47.7726	-1.60944	4.94282	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9516014
21000	-48.1927	-46.5833	-1.60944	4.771752	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9955097
21100	-49.0678	-47.4584	-1.60944	4.795298	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9785112
