Iteration	Posterior	Likelihood	Prior	m	obs[1]	obs[2]	obs[3]	obs[4]	obs[5]	obs[6]	obs[7]	obs[8]	obs[9]	obs[10]	sd
13900	-27.4299	-23.5178	-3.91202	5.882761	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.869251
14000	-27.8341	-23.9221	-3.91202	5.538667	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.204718
14100	-27.5318	-23.6198	-3.91202	5.911264	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.978349
14200	-27.3213	-23.4092	-3.91202	6.102844	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.398895
14300	-27.6711	-23.7591	-3.91202	6.561019	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.44091
14400	-27.4464	-23.5343	-3.91202	6.354016	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.571255
14500	-27.5173	-23.6053	-3.91202	6.40485	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.41925
14600	-27.3684	-23.4564	-3.91202	6.091055	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.737388
14700	-27.4498	-23.5378	-3.91202	5.806367	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.890742
14800	-27.9168	-24.0048	-3.91202	5.321961	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.197713
14900	-27.871	-23.9589	-3.91202	4.96129	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.733936
15000	-28.4364	-24.5244	-3.91202	4.57593	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.899508
15100	-28.8076	-24.8956	-3.91202	4.35475	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.979704
15200	-28.8151	-24.903	-3.91202	4.34809	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.933814
15300	-28.8364	-24.9244	-3.91202	4.344332	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.037922
15400	-28.578	-24.666	-3.91202	4.491572	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.948187
15500	-27.9905	-24.0785	-3.91202	4.864786	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.682015
15600	-28.1972	-24.2852	-3.91202	4.815915	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.059226
15700	-27.8724	-23.9603	-3.91202	4.962358	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.566649
15800	-28.0135	-24.1015	-3.91202	4.897984	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.46947
15900	-28.7766	-24.8646	-3.91202	4.565524	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.368129
16000	-27.9452	-24.0332	-3.91202	4.898252	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.660947
16100	-27.5518	-23.6398	-3.91202	5.244222	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.526166
