Iteration	Posterior	Likelihood	Prior	m	obsNodes[1]	obsNodes[2]	obsNodes[3]	obsNodes[4]	obsNodes[5]	obsNodes[6]	obsNodes[7]	obsNodes[8]	obsNodes[9]	obsNodes[10]	sd	z
128000	-57.0029	-25.1651	-31.8378	15.46661	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.122109	15.91026
129000	-56.9043	-25.1327	-31.7716	15.45411	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.014329	15.91026
130000	-56.8056	-25.0783	-31.7273	15.40588	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.037451	15.91026
131000	-56.6362	-24.996	-31.6402	15.3355	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.009553	15.91026
132000	-56.2947	-24.8264	-31.4683	15.17416	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	2.965052	15.91026
133000	-56.3066	-24.8469	-31.4597	15.19981	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	2.881545	15.91026
134000	-56.1088	-24.7535	-31.3553	15.09827	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	2.818616	15.91026
135000	-56.1965	-24.7965	-31.4	15.14572	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	2.837861	15.91026
136000	-56.1578	-24.7968	-31.361	15.10814	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	2.708112	15.91026
137000	-56.0611	-24.7486	-31.3124	15.04935	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	2.686751	15.91026
138000	-56.1561	-24.8125	-31.3436	15.04776	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	2.589661	15.91026
139000	-55.9035	-24.6677	-31.2358	14.9435	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	2.65888	15.91026
140000	-56.1805	-24.8335	-31.347	15.00255	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	2.520776	15.91026
141000	-56.2681	-24.8824	-31.3857	15.02844	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	2.50212	15.91026
142000	-56.3399	-24.9214	-31.4185	15.05624	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	2.495416	15.91026
143000	-56.034	-24.7511	-31.2829	14.95118	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	2.552784	15.91026
144000	-55.8233	-24.6331	-31.1902	14.82339	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	2.569033	15.91026
145000	-55.8918	-24.6676	-31.2242	14.90536	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	2.607128	15.91026
146000	-56.0214	-24.7461	-31.2754	14.92483	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	2.533246	15.91026
147000	-56.1331	-24.8078	-31.3253	14.97882	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	2.52254	15.91026
148000	-56.0209	-24.7445	-31.2764	14.93813	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	2.547151	15.91026
149000	-55.9441	-24.7048	-31.2393	14.85271	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	2.514155	15.91026
